"start_station_name","s_station_uid","avg_lat","avg_lng","instances"
"Sedgwick St & Webster Ave",317,"41.92215752714328","-87.63891030789131","13435"
"Halsted St & Dickens Ave",318,"41.91992747057983","-87.64882230053658","13415"
"Franklin St & Monroe St",1823,"41.880273160190214","-87.63530795562728","13369"
"Desplaines St & Jackson Blvd",399,"41.87811636798591","-87.6439954778655","13358"
"Lincoln Park Conservatory",1682,"41.923951155333","-87.63583576714987","13271"
"Sheffield Ave & Kingsbury St",306,"41.91053146479632","-87.65312895381925","13202"
"Ogden Ave & Chicago Ave",1716,"41.8963653628486","-87.65404913614928","13061"
"900 W Harrison St",260,"41.874751799920034","-87.64981820832638","13012"
"Michigan Ave & Jackson Blvd",1819,"41.87789416576892","-87.62415280845306","12944"
"Michigan Ave & 14th St",1766,"41.86408677169349","-87.62372580720182","12906"
"Calumet Ave & 33rd St",327,"41.83487800660704","-87.61795971926782","12774"
"Racine Ave & Fullerton Ave",1742,"41.92553270299123","-87.65842763022769","12761"
"Lakefront Trail & Bryn Mawr Ave",408,"41.98401867353926","-87.65228667355747","12516"
"Wood St & Milwaukee Ave",328,"41.90764977059718","-87.67254356579771","12508"
"Clark St & Chicago Ave",361,"41.896737734508314","-87.6308749779297","12256"
"Clark St & Grace St",1768,"41.950803410314954","-87.65918060149416","12195"
"Wells St & Walton St",1735,"41.89993019609333","-87.63443904188871","12137"
"Franklin St & Chicago Ave",257,"41.8967552054956","-87.63576007571498","12120"
"Dayton St & North Ave",271,"41.91058428145657","-87.64943480744694","12100"
"Aberdeen St & Randolph St",478,"41.88412673663888","-87.6542630337264","12049"
"Broadway & Wilson Ave",278,"41.965214395062894","-87.65818230195394","12030"
"Morgan St & Lake St*",1869,"41.88551301851347","-87.65231046672415","11977"
"Canal St & Jackson Blvd",300,"41.87795408409049","-87.63982362637753","11952"
"Clark St & North Ave",293,"41.9119662846044","-87.63196385631299","11939"
"Southport Ave & Wellington Ave",1747,"41.93577104348304","-87.66360212963923","11924"
"Milwaukee Ave & Wabansia Ave",334,"41.912621305182256","-87.6814042820055","11893"
"Field Museum",261,"41.865305810683864","-87.61790621815085","11885"
"California Ave & Milwaukee Ave",283,"41.922687882288486","-87.69714273927154","11826"
"Wabash Ave & Adams St",1578,"41.87948422843228","-87.62572730268546","11785"
"Shore Dr & 55th St",1798,"41.79522147373965","-87.58079071647765","11758"
"Honore St & Division St",1723,"41.903118962069456","-87.67389841012107","11752"
"Canal St & Monroe St",270,"41.88202791996211","-87.6395857825536","11740"
"Ritchie Ct & Banks St",1651,"41.90685339018272","-87.62622547505947","11696"
"Stetson Ave & South Water St",1807,"41.88680612539933","-87.62238614369954","11680"
"Wilton Ave & Diversey Pkwy",1738,"41.93242204705084","-87.65270278579108","11669"
"LaSalle Dr & Huron St",1680,"41.89484926690931","-87.63232861686686","11597"
"Clarendon Ave & Junior Ter",376,"41.960986679394594","-87.64958147201355","11594"
"Burling St & Diversey Pkwy",1843,"41.93312664697577","-87.64775527908996","11532"
"Damen Ave & Cortland St",295,"41.91598602780268","-87.67732816855869","11522"
"Wells St & Polk St",1702,"41.87276273267482","-87.6335871943381","11489"
"Elizabeth St & Randolph St",652,"41.88435004105913","-87.6589135312081","11385"
"Racine Ave & Belmont Ave",1802,"41.939714173571105","-87.6588603256101","11370"
"May St & Taylor St",311,"41.86955857795627","-87.65463800642596","11326"
"Wells St & Randolph St",1720,"41.884307257492154","-87.63394662568045","11325"
"Clark St & Berwyn Ave",1658,"41.97800787180794","-87.6684296745611","11229"
"Rush St & Hubbard St",1599,"41.890185607383664","-87.62620989587538","11113"
"Lincoln Ave & Diversey Pkwy",1756,"41.932210057156965","-87.65864428677791","11104"
"Franklin St & Adams St (Temp)",1824,"41.87935382161744","-87.63551648111715","11047"
"Michigan Ave & Madison St",264,"41.88209733085715","-87.62514549677972","11012"
"Sangamon St & Lake St",1739,"41.88580883180451","-87.65104310547181","10975"
"Clifton Ave & Armitage Ave",1790,"41.91821160880346","-87.65695676552126","10954"
"Southport Ave & Belmont Ave",330,"41.93945509703911","-87.66375924389966","10734"
"Burnham Harbor",403,"41.857420630164654","-87.61379469710732","10729"
"Halsted St & Maxwell St",1818,"41.86487378878217","-87.6470756215168","10683"
"Elston Ave & Cortland St",1726,"41.91643455479417","-87.66674911942197","10653"
"Woodlawn Ave & 55th St",1791,"41.79529370420907","-87.59649955033062","10625"
