"end_station_name","e_station_uid","end_lat","end_lng","instances"
NULL,1683,"41.87","-87.63","9382"
"Blackstone Ave & 59th St",650,"41.787877","-87.590461","9360"
"Greenview Ave & Fullerton Ave",1745,"41.92533","-87.6658","9353"
"Sheffield Ave & Willow St",1744,"41.913688","-87.652855","9281"
"Kimbark Ave & 53rd St",1844,"41.7994549","-87.5947779","9278"
NULL,1683,"41.87","-87.62","9158"
"Damen Ave & Division St",298,"41.903266","-87.678435","9148"
"Calumet Ave & 18th St",289,"41.85761755293753","-87.61941075325012","9100"
NULL,1683,"41.9","-87.67","9058"
"Woodlawn Ave & 58th St",648,"41.789381","-87.596479","8907"
"Orleans St & Hubbard St",1182,"41.890028","-87.636618","8893"
NULL,1683,"41.9","-87.64","8879"
NULL,1683,"41.98","-87.67","8874"
"Larrabee St & Oak St",1643,"41.90021949323","-87.6429854676","8870"
"Lincoln Ave & Roscoe St*",1870,"41.9433502470174","-87.67066776752472","8838"
"Green St & Washington Blvd",269,"41.88318130597391","-87.64872461557388","8822"
NULL,1683,"41.89","-87.66","8705"
"Wolcott Ave & Polk St",1858,"41.871262","-87.673688","8688"
"Paulina St & Flournoy St",1637,"41.87306108789792","-87.66913488507271","8671"
NULL,1683,"41.92","-87.66","8618"
"Ellis Ave & 58th St",1826,"41.788746","-87.601334","8608"
"Canal St & Monroe St",270,"41.88169","-87.63953","8595"
"Sangamon St & Washington Blvd",378,"41.883165","-87.6511","8579"
"Jefferson St & Monroe St",1862,"41.880329633634624","-87.64274597167967","8515"
"Financial Pl & Ida B Wells Dr",1701,"41.8750236280333","-87.6330940425396","8389"
"Wabash Ave & 16th St",1703,"41.860384","-87.625813","8360"
"Clark St & Bryn Mawr Ave",1662,"41.983593","-87.669154","8308"
"LaSalle St & Washington St",253,"41.882664","-87.63253","8276"
"Canal St & Jackson Blvd",300,"41.878125","-87.639968","8247"
"State St & Van Buren St",1724,"41.877181","-87.627844","8194"
"Larrabee St & Armitage Ave",1822,"41.918084","-87.643749","8124"
NULL,1683,"41.91","-87.62","8084"
"Eckhart Park",355,"41.89637337","-87.66098386","8012"
"Desplaines St & Randolph St",398,"41.883703","-87.644238","8008"
"Streeter Dr/Grand Ave",1685,"41.892401","-87.612388","7995"
"State St & Pearson St",1754,"41.897448","-87.628722","7994"
"Cornell Ave & Hyde Park Blvd",1571,"41.802406","-87.586924","7983"
"Rhodes Ave & 32nd St",325,"41.836208","-87.613533","7946"
"Ashland Ave & Blackhawk St",329,"41.907066","-87.667252","7935"
"Throop St & Taylor St",301,"41.868968","-87.659141","7905"
"Kedzie Ave & Milwaukee Ave",284,"41.929567","-87.707857","7901"
NULL,1683,"41.97","-87.66","7862"
"Wood St & Chicago Ave",1184,"41.895634","-87.672069","7835"
"Southport Ave & Irving Park Rd",1848,"41.954177","-87.664358","7818"
"Orleans St & Chestnut St (NEXT Apts)",1161,"41.898203","-87.637536","7811"
"Damen Ave & Thomas St (Augusta Blvd)",1757,"41.901315","-87.677409","7789"
"Ada St & Washington Blvd",373,"41.88283","-87.661206","7786"
NULL,1683,"41.95","-87.64","7745"
"Clark St & Ida B Wells Dr",1711,"41.8759326655","-87.6305845355","7735"
NULL,1683,"41.97","-87.67","7672"
"Racine Ave & Wrightwood Ave",1855,"41.928887","-87.658971","7616"
"Paulina Ave & North Ave",1725,"41.90985465216731","-87.66993016004562","7584"
"Halsted St & Roosevelt Rd",1715,"41.867324","-87.648625","7571"
"Fairbanks St & Superior St",472,"41.895748","-87.620104","7526"
"Broadway & Berwyn Ave",291,"41.978361","-87.659789","7515"
"Clark St & Montrose Ave",1583,"41.961588","-87.666036","7509"
"State St & Harrison St",1698,"41.874053","-87.627716","7506"
NULL,1683,"41.88","-87.66","7448"
"Noble St & Milwaukee Ave",356,"41.9007","-87.662607","7359"
"Michigan Ave & 18th St",305,"41.857926","-87.624336","7352"
"McCormick Place",1708,"41.8513751729","-87.6188346489","7331"
"Lake Park Ave & 53rd St",1609,"41.79949429373","-87.5864498959","7273"
NULL,1683,"41.87","-87.65","7219"
"Michigan Ave & Jackson Blvd",1819,"41.8777679","-87.624164","7198"
"Ashland Ave & Wellington Ave",348,"41.936083","-87.669807","7195"
"Walsh Park",479,"41.91461","-87.667968","7164"
NULL,1683,"41.92","-87.69","7159"
"Sheridan Rd & Argyle St",272,"41.97328682025979","-87.65475958585739","7152"
NULL,1683,"41.93","-87.63","7110"
"Clinton St & Roosevelt Rd",1861,"41.8671177825","-87.6410879593","7083"
"Marine Dr & Ainslie St",1673,"41.9716","-87.650154","7080"
"Western Ave & Leland Ave",1777,"41.966399801840986","-87.68870428204536","7075"
"Broadway & Granville Ave",406,"41.9947796884","-87.6602845349","7052"
"Ashland Ave & Grace St",364,"41.950687","-87.6687","7014"
NULL,1683,"41.92","-87.68","7008"
NULL,1683,"41.9","-87.68","6966"
"Ashland Ave & Chicago Ave",336,"41.89595435734305","-87.6677280664444","6958"
NULL,1683,"41.8","-87.59","6922"
"Broadway & Thorndale Ave",407,"41.98974251144","-87.6601406209","6909"
"Racine Ave & Congress Pkwy",1741,"41.87464","-87.65703","6867"
"Clarendon Ave & Leland Ave",1763,"41.967968","-87.650001","6716"
"Winthrop Ave & Lawrence Ave",1803,"41.968812","-87.657659","6678"
"Western Ave & Walton St",1636,"41.89841768945","-87.6865960164","6625"
"Larrabee St & North Ave",1732,"41.91021","-87.6435","6585"
"Cannon Dr & Fullerton Ave",292,"41.9267559875","-87.6344287848","6552"
"Clinton St & Tilden St",265,"41.875885","-87.640795","6494"
"Ashland Ave & Augusta Blvd",337,"41.899643","-87.6677","6487"
"Sheridan Rd & Lawrence Ave",1846,"41.969517","-87.654691","6476"
"Hermitage Ave & Polk St",280,"41.871514","-87.669886","6431"
NULL,1683,"41.91","-87.64","6388"
"Delano Ct & Roosevelt Rd",1678,"41.867491","-87.63219","6348"
"Greenview Ave & Diversey Pkwy",358,"41.93258963429789","-87.66593635082245","6335"
"University Ave & 59th St",649,"41.787878","-87.598906","6303"
"Loomis St & Jackson Blvd",323,"41.877945","-87.662007","6299"
"Wells St & Institute Pl",647,"41.89737986072316","-87.63442039489746","6295"
"Leavitt St & Armitage Ave",1838,"41.917805","-87.682437","6291"
NULL,1683,"41.93","-87.67","6283"
"Wood St & Augusta Blvd",1219,"41.899181","-87.6722","6236"
"Wentworth Ave & Cermak Rd*",1865,"41.853214418519656","-87.63187229633331","6213"
"Canal St & Taylor St",405,"41.870257","-87.639474","6192"
"Ravenswood Ave & Irving Park Rd",1781,"41.95469","-87.67393","6155"
"Lincoln Ave & Sunnyside Ave",1785,"41.963004","-87.684781","6126"
NULL,1683,"41.93","-87.71","6077"
"Seeley Ave & Roscoe St",303,"41.943403","-87.679618","6036"
NULL,1683,"41.93","-87.68","5955"
NULL,1683,"41.92","-87.7","5954"
"Damen Ave & Charleston St",354,"41.920082","-87.677855","5923"
"Benson Ave & Church St",1132,"42.048214","-87.683485","5917"
NULL,1683,"41.95","-87.67","5913"
NULL,1683,"41.92","-87.67","5904"
"Ashland Ave & Wrightwood Ave",359,"41.92883","-87.668507","5853"
"Morgan St & 18th St",313,"41.858086","-87.651073","5839"
NULL,1683,"41.98","-87.66","5820"
"California Ave & Cortez St",471,"41.900363","-87.696704","5807"
"Sheridan Rd & Noyes St (NU)",1143,"42.058239","-87.677432","5789"
"Campbell Ave & North Ave",341,"41.910535","-87.689556","5780"
"Spaulding Ave & Armitage Ave",429,"41.917108034789315","-87.71022096276283","5769"
"Blue Island Ave & 18th St",297,"41.857556","-87.661535","5752"
"Broadway & Ridge Ave",409,"41.9840446107","-87.6602738295","5750"
NULL,1683,"41.91","-87.66","5732"
"N Green St & W Lake St",558,"41.885579","-87.648484","5730"
"Orleans St & Elm St",1730,"41.902924","-87.637715","5718"
"Wolcott (Ravenswood) Ave & Montrose Ave",1780,"41.961406","-87.676169","5710"
"Buckingham Fountain",400,"41.869515","-87.6240634","5695"
"State St & 35th St",1770,"41.8310363140161","-87.62679755687714","5690"
NULL,1683,"41.97","-87.65","5686"
NULL,1683,"41.9","-87.69","5682"
NULL,1683,"41.96","-87.64","5586"
"Southport Ave & Waveland Ave",331,"41.948226","-87.6640712","5583"
"Wood St & Taylor St (Temp)",353,"41.869265218438194","-87.67373085021973","5567"
"Racine Ave & Washington Blvd",1214,"41.883073","-87.656952","5533"
"Wilton Ave & Diversey Pkwy*",1867,"41.932418","-87.652705","5495"
"Larrabee St & Menomonee St",1731,"41.91468","-87.64332","5489"
"Clark St & 9th St (AMLI)",1700,"41.870816","-87.631246","5489"
"Damen Ave & Grand Ave",1796,"41.892394452962705","-87.67688512802124","5476"
"Emerald Ave & 31st St",1853,"41.838198","-87.645143","5444"
"Dearborn St & Van Buren St",1167,"41.876268","-87.629155","5437"
"Ellis Ave & 53rd St",1605,"41.79933626261","-87.6009581145","5433"
"Western Ave & Division St",332,"41.902893","-87.687275","5432"
"Paulina St & Montrose Ave",1832,"41.961507","-87.671387","5424"
"Logan Blvd & Elston Ave",1808,"41.929465","-87.684158","5423"
"Blackstone Ave & Hyde Park Blvd",377,"41.802562","-87.590368","5423"
"Ashland Ave & Grand Ave",384,"41.891072","-87.666611","5394"
"Lakefront Trail & Wilson Ave",1188,"41.965845","-87.645361","5369"
"LaSalle St & Adams St",1594,"41.87934437346","-87.6319852213","5338"
"Leavitt St & Chicago Ave",477,"41.895501","-87.682017","5313"
"Chicago Ave & Sheridan Rd",1560,"42.050491","-87.677821","5283"
"Damen Ave & Wellington Ave",347,"41.93588","-87.67842","5265"
"Lincoln Ave & Belle Plaine Ave",1836,"41.95600355078549","-87.68016144633293","5253"
"Clybourn Ave & Division St",1761,"41.904613","-87.640552","5228"
"Fort Dearborn Dr & 31st St*",1864,"41.83867632897121","-87.60883212089539","5204"
NULL,1683,"41.99","-87.66","5156"
"Elizabeth St & Fulton St",322,"41.886827","-87.658937","5142"
"Albany Ave & Bloomingdale Ave",434,"41.91402671273","-87.705126462","5119"
"Stave St & Armitage Ave",346,"41.917741","-87.691392","5073"
NULL,1683,"41.93","-87.7","5060"
"Wentworth Ave & Cermak Rd",279,"41.85308455741279","-87.63193130493164","5029"
NULL,1683,"41.98","-87.65","4952"
"May St & Taylor St",311,"41.8696317","-87.6542494","4921"
"Michigan Ave & Jackson Blvd",1819,"41.878005","-87.624144","4919"
"Calumet Ave & 21st St",404,"41.85418424947","-87.6191537415","4890"
"Kimbark Ave & 53rd St",1844,"41.799568","-87.594747","4884"
"Ashland Ave & Lake St",277,"41.88592","-87.66717","4862"
"Humboldt Blvd & Armitage Ave",430,"41.91751339399","-87.7018089555","4859"
"Damen Ave & Clybourn Ave",349,"41.931931","-87.677856","4853"
NULL,1683,"41.94","-87.68","4801"
"Shields Ave & 31st St",1595,"41.838464","-87.635406","4785"
NULL,1683,"41.87","-87.67","4782"
NULL,1683,"41.87","-87.66","4782"
"Lincoln Ave & Byron St",653,"41.952372","-87.677296","4750"
"Drexel Ave & 60th St",651,"41.785861","-87.604553","4746"
"Leavitt St & Belmont Ave",1677,"41.939354","-87.683282","4703"
NULL,1683,"41.96","-87.66","4676"
"Paulina St & 18th St",1787,"41.857901","-87.668745","4666"
NULL,1683,"41.96","-87.68","4661"
"Sheridan Rd & Loyola Ave",1695,"42.00104377979","-87.6611982433","4646"
"Lincoln Ave & Waveland Ave",339,"41.948797","-87.675278","4585"
"Morgan Ave & 14th Pl",1728,"41.862378","-87.651062","4548"
"Kedzie Ave & Palmer Ct",357,"41.921525","-87.707322","4544"
"California Ave & Francis Pl",343,"41.91849115368695","-87.69742280244827","4541"
"Broadway & Argyle St",290,"41.973815","-87.65966","4489"
"Sedgwick St & Schiller St",1779,"41.907626","-87.638566","4478"
NULL,1683,"42.05","-87.68","4474"
"Griffin Museum of Science and Industry",1619,"41.79172820953","-87.583945009","4435"
"Indiana Ave & 31st St",1810,"41.838842","-87.621857","4416"
"Halsted St & 18th St",288,"41.85750568031716","-87.64599144458771","4375"
"Ravenswood Ave & Berteau Ave",1830,"41.957921","-87.673567","4365"
"Damen Ave & Melrose Ave",302,"41.9406","-87.6785","4359"
"Wood St & Hubbard St",383,"41.889899","-87.671473","4329"
NULL,1683,"41.95","-87.68","4320"
NULL,1683,"41.9","-87.66","4306"
"Artesian Ave & Hubbard St",435,"41.8895","-87.688257","4267"
"Leavitt St & Division St",1220,"41.902997","-87.683825","4266"
"Glenwood Ave & Morse Ave",1674,"42.00797192287","-87.6655023944","4163"
"Western Ave & Fillmore St",1196,"41.868563","-87.686234","4129"
NULL,1683,"41.91","-87.69","4121"
"Morgan St & 31st St",1814,"41.8378","-87.65114","4113"
"Lincoln Ave & Addison St",1850,"41.946176","-87.673308","4096"
"California Ave & North Ave",342,"41.910044","-87.697167","4095"
"Buckingham Fountain",400,"41.876665","-87.620483","4067"
NULL,1683,"41.99","-87.67","4065"
"Michigan Ave & Ida B Wells Dr",1712,"41.876243","-87.624426","4046"
"Racine Ave & 18th St",314,"41.8583996","-87.6564226","4040"
"Clark St & Lunt Ave",1669,"42.00901118058077","-87.67411172389984","4039"
"Southport Ave & Clybourn Ave",1839,"41.9215759","-87.6664335","4000"
"California Ave & Altgeld St",427,"41.92669","-87.697668","3967"
"California Ave & Division St",340,"41.903029","-87.697474","3967"
NULL,1683,"41.86","-87.62","3923"
"Damen Ave & Sunnyside Ave",1827,"41.96325","-87.679258","3892"
"Clark St & Elmdale Ave",1660,"41.990860448125574","-87.66972362995148","3878"
"Milwaukee Ave & Rockwell St",333,"41.92019556200566","-87.69265919923781","3877"
